subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
77,44,male,1,75,75,same,catch,clock,4,0,1,0.8612244897959185,0,f,change,0.3469387755102041,0,0.5071678092908769,0.035327174621670565,0.3532938760113211,1.0010231022256448,4.144914572567814
77,44,male,2,45,355,change,catch,anti,3,0,1,0.9346938775510205,0,j,same,1.5224489795918368,0,0.5058425872234693,0.03532557101289058,0.35331247787053144,1.0010070661405734,5.380194729387767
77,44,male,3,45,355,change,valid,anti,1,0,1,0.8244897959183675,0,f,change,0.5673469387755102,0.37944929578103603,0.5051988987697769,0.03529061234758046,0.35332691034682284,1.0010840393483704,4.3194830735915275
77,44,male,4,75,75,same,valid,anti,4,2,3,0.3836734693877551,1,f,change,2.0,0.6772757726489518,0.5054346292199625,0.035323005239206395,0.35336283117703715,1.0010776249150695,5.308678921656792
77,44,male,5,15,65,change,catch,clock,4,2,1,0.7877551020408163,0,j,same,0.7877551020408163,0,0.5056645866793588,0.03533711699401465,0.35327527415256554,1.0010494014049982,4.508447488877664
77,44,male,6,45,45,same,catch,clock,1,0,1,1.926530612244898,0,f,change,1.9632653061224492,0,0.5056241757451971,0.03533807915937359,0.35327527415256554,1.0010737762545432,6.816988820924507
77,44,male,7,45,45,same,valid,clock,3,1,1,2.0,0,j,same,0.3469387755102041,0.5866563402563928,0.5051293021610945,0.035311138536144426,0.35335000230952573,1.0010747384194474,5.261569714634788
77,44,male,8,105,55,change,valid,anti,4,2,2,0.3836734693877551,1,f,change,1.8163265306122451,0.6621055967176825,0.5054913969611334,0.035348021532172424,0.3532996490021105,1.001049080683515,5.120723496841492
77,44,male,9,75,75,same,catch,clock,5,0,1,1.1183673469387756,0,f,change,1.3755102040816327,0,0.5054468166445076,0.03532941967341685,0.35325410652058054,1.0010728140891842,5.426733372504259
77,44,male,10,105,155,change,catch,clock,2,2,1,1.6693877551020408,0,j,same,0.7142857142857143,0,0.5058695278462437,0.03534609720190929,0.35331311931349774,1.001025667999329,5.309008302843267
77,44,male,11,75,75,same,valid,clock,4,0,1,0.7142857142857143,0,j,same,1.1551020408163268,0.4644608367450975,0.5063044264725249,0.035307931319493946,0.35328682013414436,1.0010737762540884,4.792095364673514
77,44,male,12,165,215,change,valid,clock,5,0,3,1.3387755102040817,1,j,same,1.706122448979592,0.5250115996384705,0.5050417451366229,0.035355718852770224,0.3532951588981632,1.001037213980453,5.96869435478493
77,44,male,13,165,165,same,valid,clock,4,2,3,0.7877551020408163,1,f,change,0.6040816326530613,0.6487040103204817,0.5049381520270799,0.035324288126503234,0.3532749534310824,1.0011363169860488,4.319613286601907
77,44,male,14,105,55,change,valid,anti,5,2,1,1.6326530612244898,0,f,change,0.27346938775510204,0.6372479662128292,0.5051126246326021,0.03527650059277221,0.3533317211722533,1.0010920573913609,4.825716620568073
77,44,male,15,45,355,change,valid,anti,5,0,4,1.9632653061224492,1,f,change,1.3020408163265307,0.4746459003734543,0.5056014045044321,0.03534577647997139,0.3533448707617026,1.001036251815549,6.180775428099423
77,44,male,16,15,65,change,valid,clock,5,2,4,0.6040816326530613,1,f,change,0.4938775510204082,0.6725276534717888,0.5055943486272554,0.03531915657913487,0.3532637281718962,1.0010702483155,4.02572508762114
77,44,male,17,105,105,same,catch,anti,4,0,1,0.5673469387755102,0,f,change,0.5306122448979592,0,0.5052271222793934,0.0353518701926987,0.3533355698327796,1.0010311202681805,4.024796598297144
77,44,male,18,135,85,change,valid,anti,2,2,3,0.23673469387755103,1,f,change,0.9346938775510205,0.6633774470393341,0.5062271325427901,0.03529189523396781,0.3533237031297176,1.0010545329523666,4.0970157487181496
77,44,male,19,75,75,same,catch,clock,1,1,1,0.4938775510204082,0,j,same,1.779591836734694,0,0.5053105099218556,0.03532043946552221,0.3532967625069432,1.0010384968672952,5.202790727807496
77,44,male,20,105,55,change,catch,anti,5,1,1,1.706122448979592,0,f,change,1.1183673469387756,0,0.5060712617964782,0.03537111349442057,0.3533144022003398,1.001013159852846,5.757253121263602
77,44,male,21,135,185,change,valid,clock,5,1,1,0.6040816326530613,0,j,same,1.1551020408163268,0.6583667272874901,0.5058640755773922,0.035348021532172424,0.35332562745998075,1.001044590579113,4.685104208895154
77,44,male,22,15,325,change,catch,anti,3,2,1,0.7877551020408163,0,j,same,1.706122448979592,0,0.5057633689634713,0.03532749534269897,0.35327816064864237,1.001068003263299,5.426832475509855
77,44,male,23,45,95,change,valid,clock,3,0,1,1.0081632653061225,0,f,change,1.8163265306122451,0.4377771531366896,0.5061860801647526,0.03532492956946953,0.35328810302098645,1.001038817589233,5.746095213292847
77,44,male,24,45,45,same,valid,clock,5,2,2,1.9632653061224492,1,f,change,0.27346938775510204,0.6550567643470357,0.5050231432778673,0.03530921420633604,0.35332658962488495,1.001024385112487,5.155807243691925
77,44,male,25,15,15,same,catch,anti,1,2,1,0.8612244897959185,0,f,change,0.7142857142857143,0,0.5053262252854438,0.03531306286640756,0.3532954796201011,1.0010692861505959,4.495836390880413
77,44,male,26,165,215,change,valid,clock,3,1,3,0.9714285714285715,1,f,change,0.7142857142857143,0.7193271544646402,0.5062521488353013,0.035336154829110455,0.3532415983740975,1.0010843600703083,4.602982134518243
77,44,male,27,135,185,change,valid,clock,1,1,3,1.0448979591836736,1,f,change,0.3836734693877551,0.6880344285813975,0.5057755563880164,0.03530151688528349,0.3533365319976838,1.0010740969760263,4.343751443247584
77,44,male,28,165,215,change,valid,clock,4,0,1,0.4571428571428572,0,j,same,0.6775510204081634,0.4666434914429485,0.5055475232588833,0.03533904132427779,0.3532675768324225,1.0010769834711937,4.060807872306668
77,44,male,29,75,75,same,valid,clock,4,2,1,1.6693877551020408,0,f,change,1.5224489795918368,0.6478845664394022,0.5055648422307968,0.03534288998434931,0.3533439085972532,1.00103528965019,6.109964887388287
77,44,male,30,75,75,same,valid,clock,2,1,1,1.9632653061224492,0,f,change,0.27346938775510204,0.6644653867159326,0.5056979417363436,0.03536052967820069,0.3532614831196952,1.001068965428658,5.155868501537043
77,44,male,31,15,15,same,valid,anti,5,1,3,1.5959183673469388,1,f,change,1.8163265306122451,0.6969497474130195,0.5060257193144935,0.035364378338726965,0.35324929569515007,1.001107772754949,6.334939935240072
77,44,male,32,105,105,same,valid,clock,5,1,1,1.742857142857143,0,j,same,1.0081632653061225,0.6790747068137188,0.5049272474893769,0.03532845750805791,0.353258917346011,1.0010901330610977,5.673821540182871
77,44,male,33,165,215,change,catch,clock,4,1,1,0.9346938775510205,0,f,change,0.27346938775510204,0,0.5054147444748196,0.03534770081023453,0.35330798776612937,1.001045552744472,4.131819184802225
77,44,male,34,135,135,same,valid,clock,4,1,1,0.7877551020408163,0,f,change,0.9346938775510205,0.7058786969253572,0.5053364883797258,0.035343531428225106,0.35323903260041334,1.0017822504914875,4.649077540244434
77,44,male,35,165,165,same,valid,clock,1,1,3,2.0,1,j,same,1.926530612244898,0.732249541053638,0.5058813945493057,0.03533904132427779,0.3533512851959131,1.0010307995466974,6.8529122171876224
77,44,male,36,45,45,same,valid,clock,3,0,1,1.2653061224489797,0,f,change,1.0081632653061225,0.494109191405038,0.5050965885475307,0.03534417287164615,0.3532566722942647,1.0010907745045188,5.19084897599987
77,44,male,37,105,105,same,valid,anti,1,2,2,0.5306122448979592,1,j,same,1.3387755102040817,0.6720577181619973,0.5056620209061293,0.0353072898760729,0.3533326833371575,1.0010721726457632,4.790836531997684
77,44,male,38,75,25,change,valid,anti,4,0,4,0.23673469387755103,1,j,same,0.9714285714285715,0.5190775051387336,0.5052951152802052,0.03533583410717256,0.3533102328183304,1.0010401004756204,4.131221359552455
77,44,male,39,165,115,change,valid,anti,4,2,1,0.5306122448979592,0,j,same,1.0816326530612246,0.6656737432456223,0.505431422003312,0.03534032421111988,0.35329451745474216,1.0010558158392087,4.543706670498068
77,44,male,40,15,15,same,catch,clock,5,2,1,2.0,0,f,change,0.8612244897959185,0,0.505290945897741,0.03530472410238872,0.35332338240823447,1.0010247058344248,5.791730383377853
77,44,male,41,165,215,change,valid,clock,1,0,1,0.9714285714285715,0,j,same,0.8979591836734694,0.4945035428688258,0.5058547746480144,0.03537881081501837,0.35326885971880984,1.001036251815549,4.791013249654952
77,44,male,42,45,95,change,catch,clock,2,0,1,1.6326530612244898,0,j,same,0.4571428571428572,0,0.5058320034077042,0.03534321070628721,0.35329740395036424,1.0008755702433518,5.014815418246599
77,44,male,43,165,165,same,valid,clock,3,1,4,0.9714285714285715,1,j,same,1.3387755102040817,0.7179477835576938,0.5058881297049993,0.03533358905542627,0.3532611623977573,1.001059664499735,5.227085075921423
77,44,male,44,45,95,change,catch,clock,5,0,1,0.9714285714285715,0,j,same,1.6326530612244898,0,0.505589217079887,0.03529606461643198,0.3533111949832346,1.0012684543266914,5.52088218993913
77,44,male,45,75,75,same,valid,anti,5,0,1,0.7877551020408163,0,f,change,1.0816326530612246,0.5138654760915479,0.5064734468091956,0.03531915657868012,0.3532861786907233,1.001058702334376,4.804237246822595
77,44,male,46,15,15,same,valid,clock,5,0,2,1.926530612244898,1,f,change,1.412244897959184,0.532924639215675,0.5044990840187893,0.03536341617382277,0.35331215714859354,1.001034968928252,6.262406798273787
77,44,male,47,75,75,same,catch,anti,2,2,1,1.926530612244898,0,f,change,0.8612244897959185,0,0.5052393097043932,0.03532941967341685,0.3531944522842423,1.0011751243118852,5.708783092065005
77,44,male,48,135,135,same,valid,anti,1,0,4,0.3469387755102041,1,j,same,0.6408163265306123,0.5134989514788846,0.5063326499825962,0.03529895111159931,0.3532781606481876,1.0011199601794942,3.908033373017588
77,44,male,49,15,15,same,valid,clock,1,0,4,0.5306122448979592,1,f,change,0.8244897959183675,0.4971322419400737,0.5053432235354194,0.035365661225569056,0.35332338240823447,1.001012197687487,4.284158144022058
77,44,male,50,45,95,change,valid,clock,1,2,2,1.706122448979592,1,f,change,0.4571428571428572,0.6868533984755054,0.5053185279643913,0.035321401630881155,0.3533278725121818,1.0010676825418159,5.097327169489745
77,44,male,51,165,115,change,valid,anti,1,1,2,0.6408163265306123,1,j,same,1.779591836734694,0.7058733583265777,0.49845123490695187,0.03531370430982861,0.35328265075213494,1.001013801296267,5.349192166179819
77,44,male,52,75,25,change,valid,anti,3,2,2,0.3469387755102041,1,j,same,0.31020408163265306,0.6814905333868295,0.5050202567827,0.03528868801731733,0.3533121571481388,1.0010882087308346,3.577216956684424
77,44,male,53,135,135,same,valid,anti,2,0,3,0.8244897959183675,1,j,same,1.1551020408163268,0.4832763650232976,0.5057162228736161,0.03540382710752965,0.35330830848806727,1.0010737762540884,4.9088816819162275
77,44,male,54,15,65,change,catch,clock,4,1,1,2.0,0,j,same,0.42040816326530617,0,0.5057563130858398,0.03534738008875138,0.35327848136967077,1.0010943024431072,5.332941518322059
77,44,male,55,45,45,same,catch,clock,5,2,1,1.448979591836735,0,f,change,0.2,0,0.5053560524033855,0.03533166472516314,0.35329868683720633,1.001059985221218,4.578585476181615
77,44,male,56,75,125,change,valid,clock,3,1,1,1.926530612244898,0,j,same,1.6693877551020408,0.6953290262425404,0.5057566338077777,0.03535603957425337,0.3533022147757947,1.001078587079519,6.522862646441354
77,44,male,57,15,325,change,valid,anti,1,2,3,1.779591836734694,1,j,same,1.2285714285714286,0.6762976301850974,0.5045920933121124,0.035321401630881155,0.35328714085608226,1.0010840393483704,5.932249144314483
77,44,male,58,15,65,change,valid,clock,1,0,2,0.3469387755102041,1,f,change,0.5306122448979592,0.47082097168246084,0.5056065360518005,0.035386187414587766,0.3533057427143831,1.0010654374900696,3.8017048282727046
77,44,male,59,15,15,same,valid,anti,1,2,1,1.0448979591836736,0,f,change,1.1918367346938776,0.6716160403523065,0.5053438649783857,0.035320118744039064,0.35334487076215737,1.0010699275935622,5.155507689623391
77,44,male,60,105,155,change,valid,clock,5,1,1,1.889795918367347,0,j,same,1.2285714285714286,0.7127788163164064,0.5056937723543342,0.035321722352364304,0.35327527415256554,1.0011113006935375,6.039630939124436
77,44,male,61,15,15,same,valid,anti,2,0,1,0.7142857142857143,0,f,change,1.1551020408163268,0.4597586149082994,0.5049859395603562,0.03530696915458975,0.353337494162588,1.0010304788247595,4.790354487281093
77,44,male,62,135,135,same,valid,anti,2,2,3,2.0,1,f,change,1.2653061224489797,0.6875956987646824,0.5055266763483814,0.03532845750805791,0.35332434457313866,1.0010651167681317,6.192751497128938
77,44,male,63,165,215,change,valid,clock,1,2,3,1.3387755102040817,1,f,change,1.0816326530612246,0.6833504315132125,0.5047409081812475,0.03532781606463686,0.35327559487450344,1.0010885294527725,5.343314299569556
77,44,male,64,45,45,same,catch,clock,4,2,1,0.3469387755102041,0,f,change,1.8530612244897962,0,0.5052678539359476,0.035358284626454406,0.3533179301389282,1.0010696068725338,5.120149404996937
77,44,male,65,45,355,change,valid,anti,3,0,1,1.5959183673469388,0,j,same,1.559183673469388,0.46950244015185216,0.5059949300311928,0.03535636029619127,0.3533192130257703,1.0010394590321994,6.074932456009719
