subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
37,26,female,1,105,155,change,catch,clock,1,2,1,1.1734329012087983,0,f,same,3.1005972725533866,0,0.5056967479540617,0.03533827858609584,0.3533170387372593,1.0010506711496419,9.530751534553929
37,26,female,2,165,115,change,valid,anti,4,2,1,0.5158471421009381,0,f,same,5.331816124851684,0.2,0.5000171583960764,0.035342768634109234,0.35329843711042486,1.001034955983414,9.572606155149515
37,26,female,3,75,75,same,valid,anti,2,1,1,0.8915852337731849,0,j,change,2.226201544768628,0.2,0.49930933445648407,0.03532993992575939,0.3533215287843632,1.001012505745166,6.898183679511021
37,26,female,4,45,45,same,valid,anti,2,2,1,0.855475949861102,0,j,change,2.537196356518507,0.3670372117912738,0.49988887132076343,0.035348220834748645,0.35326732749490475,1.0010705556469475,7.110575762017106
37,26,female,5,75,125,change,valid,clock,5,2,1,0.4495426084677092,0,f,same,4.105826895192877,0.4895303947352734,0.5001441626009182,0.03531711121831904,0.35330517218244495,1.0010484261256352,8.335584557699804
37,26,female,6,45,45,same,valid,anti,2,0,1,0.5428445157440365,0,j,change,1.8072092205056833,0.2,0.5002464715444148,0.03534084432794771,0.353318321606821,1.001072479953109,6.062629108914734
37,26,female,7,105,105,same,catch,clock,2,2,1,0.8829085374081842,0,j,change,6.866194014317443,0,0.5004895755528196,0.03530139605209115,0.3533282638554738,1.0010564440681264,12.964947801592643
37,26,female,8,15,15,same,catch,clock,1,0,1,0.6206772467157862,0,j,change,1.1980364380196988,0,0.49995878777735925,0.03532352557249396,0.353322170219144,1.0010474639730091,7.098917353296201
37,26,female,9,165,165,same,catch,anti,2,2,1,1.1066517810895675,0,f,same,1.4735175386067567,0,0.5005883566009288,0.035316469783538196,0.3532811183549711,1.001076970000213,7.83011648145748
37,26,female,10,135,135,same,valid,clock,2,1,1,1.212035123718124,0,f,same,1.167077880197212,0.33948538693435915,0.5000537202122359,0.03530813112320175,0.3533289052911641,1.0010516333031774,6.144932003039685
37,26,female,11,75,75,same,valid,anti,1,2,1,1.453566011878138,0,j,change,0.5692559381677711,0.5890718826496524,0.500408754694945,0.0352863223206441,0.3533536005534188,1.001031107371091,5.733723497092797
37,26,female,12,165,165,same,valid,clock,4,2,1,1.4981852189557685,0,f,same,1.8183079768577954,0.6758845662617424,0.499316710963285,0.035362011695724505,0.35328400481375866,1.0010804978946908,7.016398616166953
37,26,female,13,105,55,change,valid,anti,3,2,1,0.6399039514662945,0,j,change,0.8827234833015609,0.7550828364566777,0.4997753372590523,0.03536040810740815,0.3533115865357104,1.001059330526914,5.2147618655117185
37,26,female,14,75,75,same,valid,clock,4,0,1,1.1475246848385723,0,j,change,0.8326062128789999,0.3150270229513009,0.49962556209811737,0.03533667499777948,0.3533292260090093,1.0010282209113939,5.673476999891136
37,26,female,15,165,165,same,valid,anti,4,0,1,0.4796820533119899,0,j,change,2.5633585812984165,0.3996559747928428,0.5002291527889611,0.03534341006889008,0.35329298490978545,1.0010359181369495,6.710657480884947
37,26,female,16,105,55,change,catch,anti,1,0,1,1.004287995505365,0,f,same,1.992157490345562,0,0.5001592363332747,0.035338599304850504,0.35326828964753076,1.001056444069036,8.253801226232099
37,26,female,17,105,105,same,catch,clock,1,2,1,0.5836619353322021,0,j,change,3.0162209385671304,0,0.4999045864869913,0.03535912523602747,0.3533045307467546,1.001057406221662,8.79498474506363
37,26,female,18,45,45,same,catch,clock,3,0,1,0.5533265319800194,0,f,same,2.653726563154123,0,0.5003179915884175,0.03535174872922653,0.35328079763803544,1.0010272587587679,8.477060827637615
37,26,female,19,75,75,same,valid,anti,4,0,1,0.5975913460106312,0,f,same,2.4673873406954954,0.46690619962159796,0.5005514740660146,0.0352930573917547,0.35332313237267954,1.0010355974181948,6.804864774197085
37,26,female,20,165,165,same,catch,anti,3,1,1,0.6199274087584854,0,j,change,3.8395664281697464,0,0.49977854443568503,0.03529337810959987,0.35333082959732565,1.0010365595708208,9.654163701364268
37,26,female,21,135,185,change,valid,clock,4,0,1,0.5807587988101659,0,j,change,2.2935519387865497,0.5261480498876727,0.5002403779080851,0.03532705346697185,0.3532888155805267,1.001077290718058,6.581522427627533
37,26,female,22,75,75,same,valid,anti,4,1,1,0.5555747629814505,0,f,same,1.6351560467956006,0.43994886294822894,0.4992217785274988,0.03535463518801407,0.35330292715843825,1.0010763285645226,5.897237562327973
